Pincode,State Code,District,Prepaid,Reverse Pickup,REPL,COD,Cash
756083,OR,Baleswar,Y,Y,N,Y,N
756137,OR,Bhadrak,Y,Y,Y,Y,Y
506002,TS,Warangal,Y,Y,Y,Y,Y
700063,WB,Kolkata,Y,Y,Y,Y,Y
591262,KA,Belgaum,Y,Y,Y,Y,Y
382423,GJ,Gandhi Nagar,Y,Y,Y,Y,Y
503301,TS,Nizamabad,Y,Y,Y,Y,Y
364740,GJ,Bhavnagar,Y,Y,Y,Y,Y
202136,UP,Aligarh,Y,Y,Y,Y,Y
462066,MP,Bhopal,Y,Y,Y,Y,Y
825320,JH,Giridh,Y,Y,N,Y,N
143507,PB,Gurdaspur,Y,Y,Y,Y,Y
177048,HP,Hamirpur(Hp),Y,Y,Y,Y,Y
800023,BR,Patna,Y,Y,Y,Y,Y
788710,AS,Karimganj,Y,Y,Y,Y,Y
413506,MH,Osmanabad,Y,Y,Y,Y,Y
140111,PB,Ropar,Y,Y,Y,Y,Y
209749,UP,Farrukhabad,Y,Y,Y,Y,Y
854316,BR,Purnia,Y,Y,Y,Y,Y
723128,WB,Puruliya,Y,Y,N,Y,N
736168,WB,Cooch Behar,Y,Y,N,Y,N
828206,JH,Dhanbad,Y,Y,Y,Y,Y
131409,HR,Sonipat,Y,Y,Y,Y,Y
758044,OR,Kendujhar,Y,Y,N,Y,N
521261,AP,Krishna,Y,Y,N,Y,N
683546,KL,Angamaly,Y,Y,Y,Y,Y
829112,JH,Bokaro,Y,Y,N,Y,N
505528,TS,Karim Nagar,Y,Y,N,Y,N
574150,KA,Dakshina Kannada,Y,Y,Y,Y,Y
515662,AP,Ananthapur,Y,Y,Y,Y,Y
685551,KL,Udumbanchola,Y,Y,N,Y,N
518002,AP,Kurnool,Y,Y,Y,Y,Y
605758,TN,Villupuram,Y,Y,Y,Y,Y
630004,TN,Sivaganga,Y,Y,Y,Y,Y
623104,TN,Silukku,Y,Y,Y,Y,Y
625526,TN,Theni,Y,Y,Y,Y,Y
635811,TN,Ambur,Y,Y,Y,Y,Y
600098,TN,Tiruvallur,Y,Y,Y,Y,Y
303313,RJ,Dausa,Y,Y,Y,Y,Y
575001,KA,Dakshina Kannada,Y,Y,Y,Y,Y
402110,MH,Raigarh(Mh),Y,Y,Y,Y,Y
110074,DL,South West Delhi,Y,Y,Y,Y,Y
713331,WB,Asansol,Y,Y,Y,Y,Y
